pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name,Day Name,Day Number,Month Name,Month Number
1,1,hawaiian_m,1,01-01-2015,11:38:36,13.25,13.25,Medium,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,Thursday,5,January,1
2,2,classic_dlx_m,1,01-01-2015,11:57:40,16,16,Medium,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,Thursday,5,January,1
3,2,five_cheese_l,1,01-01-2015,11:57:40,18.5,18.5,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,Thursday,5,January,1
4,2,ital_supr_l,1,01-01-2015,11:57:40,20.75,20.75,Large,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,5,January,1
5,2,mexicana_m,1,01-01-2015,11:57:40,16,16,Medium,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,5,January,1
6,2,thai_ckn_l,1,01-01-2015,11:57:40,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,Thursday,5,January,1
7,3,ital_supr_m,1,01-01-2015,12:12:28,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,5,January,1
8,3,prsc_argla_l,1,01-01-2015,12:12:28,20.75,20.75,Large,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,Thursday,5,January,1
9,4,ital_supr_m,1,01-01-2015,12:16:31,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,5,January,1
10,5,ital_supr_m,1,01-01-2015,12:21:30,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,5,January,1
11,6,bbq_ckn_s,1,01-01-2015,12:29:36,12.75,12.75,Regular,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,5,January,1
12,6,the_greek_s,1,01-01-2015,12:29:36,12,12,Regular,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,Thursday,5,January,1
13,7,spinach_supr_s,1,01-01-2015,12:50:37,12.5,12.5,Regular,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza,Thursday,5,January,1
14,8,spinach_supr_s,1,01-01-2015,12:51:37,12.5,12.5,Regular,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza,Thursday,5,January,1
15,9,classic_dlx_s,1,01-01-2015,12:52:01,12,12,Regular,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,Thursday,5,January,1
16,9,green_garden_s,1,01-01-2015,12:52:01,12,12,Regular,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,Thursday,5,January,1
17,9,ital_cpcllo_l,1,01-01-2015,12:52:01,20.5,20.5,Large,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,Thursday,5,January,1
18,9,ital_supr_l,1,01-01-2015,12:52:01,20.75,20.75,Large,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,5,January,1
19,9,ital_supr_s,1,01-01-2015,12:52:01,12.5,12.5,Regular,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,Thursday,5,January,1
20,9,mexicana_s,1,01-01-2015,12:52:01,12,12,Regular,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,5,January,1
21,9,spicy_ital_l,1,01-01-2015,12:52:01,20.75,20.75,Large,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza,Thursday,5,January,1
22,9,spin_pesto_l,1,01-01-2015,12:52:01,20.75,20.75,Large,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza,Thursday,5,January,1
23,9,veggie_veg_s,1,01-01-2015,12:52:01,12,12,Regular,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,Thursday,5,January,1
24,10,mexicana_l,1,01-01-2015,13:00:15,20.25,20.25,Large,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,Thursday,5,January,1
25,10,southw_ckn_l,1,01-01-2015,13:00:15,20.75,20.75,Large,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,Thursday,5,January,1
26,11,bbq_ckn_l,1,01-01-2015,13:02:59,20.75,20.75,Large,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,Thursday,5,January,1
27,11,cali_ckn_l,1,01-01-2015,13:02:59,20.75,20.75,Large,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,Thursday,5,January,1
28,11,cali_ckn_m,1,01-01-2015,13:02:59,16.75,16.75,Medium,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,Thursday,5,January,1
29,11,pepperoni_l,1,01-01-2015,13:02:59,15.25,15.25,Large,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,Thursday,5,January,1
